metric,mean,std,min,max,p5,p95,n
outer_radius,820.6377,231.4591,370.49,1082.63,376.43,1077.0245,22
inner_radius,176.5714,166.3844,17.77,381.98,24.5415,375.037,22
center_dist,419.6955,268.5433,102.21,858.68,130.837,816.901,22
ring_thickness,644.0668,127.3005,339.14,790.15,345.038,769.1995,22
mean_radius,498.6055,191.2507,200.79,728.85,204.03,722.459,22
min_thickness,80.9091,132.6843,1,316,1,314.6,22
max_thickness,467.7273,96.7802,318,621,322.1,606.75,22
mean_thickness,248.1014,73.0391,125.31,368.33,144.6905,365.532,22
thickness_std,84.8023,60.5736,12.09,186.08,15.7235,173.168,22
thickness_cv,43.9991,38.3837,4.27,115.55,4.292,109.9025,22
thickness_range,386.8182,187.8081,53,620,76,605.75,22
thickness_ratio,283.0307,227.4968,1.2,621,1.241,606.75,22
circularity_outer,0.2462,0.2166,0.0299,0.7514,0.038,0.7403,22
circularity_inner,0.5854,0.2465,0.0993,0.8684,0.1653,0.8659,22
outer_radial_std,195.8741,73.2021,12.05,295.01,19.381,289.099,22
inner_radial_std,9.9359,10.4499,2.69,46.93,3.1635,32.211,22
eccentricity_pct,108.655,76.4873,14.14,211.15,18.8325,198.7235,22
annular_area,1577399.409,1198373.044,430792,3121309,431883.45,3118455.2,22
edge_clearance,34.6364,105.2609,0,359,0,342.35,22
