metric,mean,std,min,max,p5,p95,n
outer_radius,599.8132,3.8797,590.41,605.87,590.671,603.5815,22
inner_radius,320.4118,3.9541,311.71,325.54,314.586,325.2935,22
center_dist,5.9059,5.3881,0.24,20.89,1.522,16.971,22
ring_thickness,279.4023,6.5272,266.64,289.09,267.409,287.642,22
mean_radius,460.1127,2.1644,455.54,464.26,456.8275,463.611,22
min_thickness,239.6364,79.3489,1,279,14.75,278,22
max_thickness,314.7273,67.6969,287,603,287.05,370.85,22
mean_thickness,281.475,10.4838,267.76,321.02,271.2795,289.273,22
thickness_std,11.2868,18.8113,2.49,83.24,3.145,47.9405,22
thickness_cv,3.9005,6.1352,0.87,25.93,1.129,17.9025,22
thickness_range,75.0909,99.5762,13,339,18,303.2,22
thickness_ratio,16.5851,61.7869,1.047,289,1.0651,49.1978,22
circularity_outer,0.8584,0.0234,0.7629,0.8851,0.8375,0.8805,22
circularity_inner,0.8378,0.177,0.0467,0.8899,0.8459,0.8885,22
outer_radial_std,4.7568,4.4712,1.52,17.31,1.7905,14.0845,22
inner_radial_std,4.2059,10.8739,1,52.76,1.1235,4.0865,22
eccentricity_pct,1.285,1.1794,0.05,4.57,0.3305,3.7155,22
annular_area,820897.7273,60331.6783,769457,1079022,770977.85,834477.6,22
edge_clearance,145.5,89.5043,0,276,0,272.45,22
