metric,mean,std,min,max,p5,p95,n
outer_radius,1079.634,38.873,894.05,1149.37,1021.19,1121.34,47
inner_radius,357.2064,56.0434,11.01,389.02,328.041,388.412,47
center_dist,566.5911,103.9267,384.36,921.99,437.165,706.32,47
ring_thickness,722.4287,40.6473,625.92,883.04,673.452,771.723,47
mean_radius,718.4202,43.7371,452.53,764.34,690.686,749.187,47
min_thickness,175.4255,97.6513,1,409,35.5,315.7,47
max_thickness,1268.5957,123.8152,512,1383,1178.5,1354.2,47
mean_thickness,613.3994,148.1595,107.28,850.79,384.135,806.389,47
thickness_std,427.1628,61.2244,192.13,521.43,337.632,496.483,47
thickness_cv,76.2951,28.5935,37.33,179.1,42.916,124.221,47
thickness_range,1093.1702,120.4429,511,1266,911.9,1215.4,47
thickness_ratio,47.424,196.0968,3.381,1267,3.9135,38.8663,47
circularity_outer,0.4741,0.0824,0.1703,0.5869,0.3293,0.5726,47
circularity_inner,0.5688,0.3004,0.1415,0.8594,0.1466,0.851,47
outer_radial_std,99.2783,38.2684,67.82,335.05,75.886,126.708,47
inner_radial_std,43.8791,52.2112,1.71,122.42,1.782,115.529,47
eccentricity_pct,79.7887,21.8426,55.5,203.74,59.485,95.428,47
annular_area,3214239.234,415674.745,784352,3666272,2910378.6,3586617.5,47
edge_clearance,0,0,0,0,0,0,47
